V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,variable,generation,rate,popSize,chroms,generationMean,generationSD,ymin
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1e-7_1000_1,1,1e-7,1000,1,0.05,0,0.05
0.0414245,0.038887,0.0381855,0.0395185,0.03874,0.0392645,0.0443245,0.039331,0.041345,0.036652,1e-7_1000_1,2,1e-7,1000,1,0.03976725,0.00212252592249581,0.0376447240775042
0.038938,0.0349375,0.0349555,0.035435,0.036254,0.037049,0.042189,0.038529,0.032817,0.032656,1e-7_1000_1,3,1e-7,1000,1,0.036376,0.00292376278677552,0.0334522372132245
0.0377615,0.0358205,0.0304495,0.0341045,0.034134,0.0356685,0.0394235,0.0341145,0.032675,0.029819,1e-7_1000_1,4,1e-7,1000,1,0.03439705,0.00298085153242045,0.0314161984675796
0.036687,0.0353025,0.028742,0.0341055,0.033615,0.0336635,0.039143,0.0321525,0.0321515,0.029725,1e-7_1000_1,5,1e-7,1000,1,0.03352875,0.00309428045171876,0.0304344695482812
0.0356665,0.0347925,0.028933,0.0346125,0.0339325,0.0319835,0.038202,0.031442,0.0329585,0.0286075,1e-7_1000_1,6,1e-7,1000,1,0.03311305,0.00298185057612439,0.0301311994238756
0.035493,0.034208,0.029552,0.0351195,0.033017,0.03232,0.038483,0.0310415,0.031923,0.0286335,1e-7_1000_1,7,1e-7,1000,1,0.03297905,0.00295595180619637,0.0300230981938036
0.0354415,0.0338975,0.0290775,0.0349995,0.0331015,0.0320905,0.0389555,0.0308085,0.031883,0.028658,1e-7_1000_1,8,1e-7,1000,1,0.0328913,0.0031134310495015,0.0297778689504985
0.0353645,0.0330055,0.028999,0.0349775,0.0331795,0.0317085,0.0386205,0.0308695,0.031886,0.028034,1e-7_1000_1,9,1e-7,1000,1,0.03266445,0.00312898376695835,0.0295354662330416
0.0351675,0.0328515,0.02911,0.0347925,0.0333115,0.031821,0.038374,0.030858,0.031934,0.028106,1e-7_1000_1,10,1e-7,1000,1,0.0326326,0.00301400697485,0.02961859302515
0.0350765,0.0329425,0.029025,0.034917,0.0331845,0.031779,0.038209,0.0313905,0.032053,0.027891,1e-7_1000_1,11,1e-7,1000,1,0.0326468,0.00299612550916457,0.0296506744908354
0.0349085,0.032792,0.028979,0.034959,0.032967,0.031668,0.038079,0.0315305,0.0320695,0.027958,1e-7_1000_1,12,1e-7,1000,1,0.03259105,0.00294463609758867,0.0296464139024113
0.0349025,0.0326695,0.0291255,0.0351095,0.033354,0.0313775,0.038163,0.031449,0.032158,0.027932,1e-7_1000_1,13,1e-7,1000,1,0.03262405,0.00298125017074307,0.0296427998292569
0.0347885,0.032548,0.0292205,0.03523,0.0337125,0.031527,0.0383035,0.0317055,0.032048,0.0280015,1e-7_1000_1,14,1e-7,1000,1,0.0327085,0.00298482026259539,0.0297236797374046
0.034842,0.032768,0.029364,0.03492,0.0336825,0.031329,0.0380545,0.031617,0.0319755,0.028069,1e-7_1000_1,15,1e-7,1000,1,0.03266215,0.00289242930433149,0.0297697206956685
0.034613,0.032837,0.029585,0.034915,0.0333875,0.031232,0.037806,0.0314715,0.031978,0.0281675,1e-7_1000_1,16,1e-7,1000,1,0.03259925,0.00277807389560545,0.0298211761043945
