V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,variable,generation,rate,popSize,chroms,generationMean,generationSD
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1e-10_1000000_1,1,1e-10,1000000,1,0.05,0
0.040757,0.0408056,0.0407754,0.040852,0.0409724,0.0406462,0.0406902,0.0410084,0.0409378,0.0406477,1e-10_1000000_1,2,1e-10,1000000,1,0.04080927,0.000131393015626994
0.0330438,0.0331404,0.0331513,0.0330959,0.0334127,0.0331028,0.0331202,0.0333448,0.0330886,0.0329113,1e-10_1000000_1,3,1e-10,1000000,1,0.03314118,0.000143117292999677
0.0270368,0.0273225,0.0269523,0.0270584,0.0273888,0.0268374,0.0272471,0.027319,0.0270585,0.0267374,1e-10_1000000_1,4,1e-10,1000000,1,0.02709582,0.000219098211362444
0.0222951,0.0225879,0.0222616,0.0221898,0.0226196,0.0221204,0.0223677,0.0225547,0.0220476,0.0219928,1e-10_1000000_1,5,1e-10,1000000,1,0.02230372,0.000225665419986709
0.0184273,0.0188428,0.0184484,0.0184655,0.0187057,0.0185077,0.0184163,0.0185468,0.0183345,0.0182918,1e-10_1000000_1,6,1e-10,1000000,1,0.01849868,0.000166312195049618
0.0154507,0.0158311,0.0154875,0.0153977,0.0157339,0.0153616,0.0155201,0.0155017,0.0153299,0.0153128,1e-10_1000000_1,7,1e-10,1000000,1,0.0154927,0.000170096332183331
0.0130731,0.0133794,0.013058,0.0129802,0.0132418,0.0128876,0.0130665,0.0130299,0.0129496,0.0130212,1e-10_1000000_1,8,1e-10,1000000,1,0.01306873,0.000143454499561514
0.0111959,0.0114222,0.0110923,0.0110381,0.0112051,0.0109017,0.0111756,0.011172,0.0110236,0.0110212,1e-10_1000000_1,9,1e-10,1000000,1,0.01112477,0.000143015026794001
0.00965385,0.00979773,0.00961271,0.00944364,0.00964265,0.00942082,0.00963591,0.00961336,0.00961942,0.00946469,1e-10_1000000_1,10,1e-10,1000000,1,0.009590478,0.00011536354583085
0.0084613,0.00846123,0.00835402,0.00819426,0.00843591,0.00817243,0.00844682,0.00826941,0.00834859,0.00822625,1e-10_1000000_1,11,1e-10,1000000,1,0.008337022,0.00011423327505105
0.00740392,0.00735308,0.00723963,0.00710513,0.00736454,0.00714837,0.00737426,0.00721316,0.00729735,0.00729585,1e-10_1000000_1,12,1e-10,1000000,1,0.007279529,0.000100709778235394
0.0064766,0.00648215,0.00642332,0.00628735,0.00643709,0.00634292,0.00649222,0.0064135,0.00648705,0.00648315,1e-10_1000000_1,13,1e-10,1000000,1,0.006432535,6.91833016542127e-05
0.0057206,0.00575469,0.00565947,0.00564005,0.00577172,0.00558172,0.00574333,0.00566541,0.0057792,0.00578197,1e-10_1000000_1,14,1e-10,1000000,1,0.005709816,6.9031470794124e-05
0.00510339,0.00516825,0.00505253,0.00510393,0.00519434,0.0050013,0.00512239,0.00505312,0.0051123,0.00518539,1e-10_1000000_1,15,1e-10,1000000,1,0.005109694,6.21666025379472e-05
0.00459406,0.00470717,0.00460335,0.00460113,0.00469042,0.00448341,0.00455399,0.00455675,0.00461837,0.00464376,1e-10_1000000_1,16,1e-10,1000000,1,0.004605241,6.60533392965278e-05
0.00415177,0.00423489,0.0041708,0.00416642,0.00425009,0.00406482,0.00415808,0.00409979,0.00419514,0.00421766,1e-10_1000000_1,17,1e-10,1000000,1,0.004170946,5.77348522125067e-05
0.00374319,0.00386516,0.00387209,0.00378498,0.00389845,0.0036999,0.00377553,0.00377369,0.00375015,0.00385996,1e-10_1000000_1,18,1e-10,1000000,1,0.00380231,6.6605007152449e-05
