V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,variable,generation,generationMean,generationSD
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,h0.1.spHuman,1,0.05,0
0.0406111,0.0408654,0.0402435,0.040637,0.0405143,0.0414197,0.0415949,0.0405263,0.0411417,0.040406,h0.1.spHuman,2,0.04079599,0.000449751287935898
0.036631,0.0367667,0.0364015,0.0365409,0.0364475,0.0376546,0.0377433,0.0365223,0.0373111,0.0371062,h0.1.spHuman,3,0.03691251,0.000506132524257344
0.0350547,0.0349565,0.0345401,0.0348045,0.0344452,0.0358648,0.0362115,0.0346873,0.0355414,0.0354286,h0.1.spHuman,4,0.03515346,0.000588512288552905
0.0340056,0.0338952,0.033673,0.0338423,0.0334612,0.0349378,0.03523,0.0336972,0.0346683,0.0344455,h0.1.spHuman,5,0.03418561,0.000597937123134382
0.0332852,0.0334846,0.033246,0.0332004,0.0330503,0.0344889,0.0346363,0.0332769,0.0342554,0.0339132,h0.1.spHuman,6,0.03368372,0.000589311271834429
0.0329543,0.0332116,0.033019,0.0329302,0.0327825,0.034235,0.0342991,0.0329132,0.0339206,0.0335696,h0.1.spHuman,7,0.03338351,0.000579364758353684
0.0328032,0.033078,0.0328386,0.0327205,0.0324537,0.034047,0.0341676,0.032796,0.0337678,0.0333519,h0.1.spHuman,8,0.03320243,0.000601120647993765
0.0326879,0.0330239,0.0327337,0.0326536,0.0323955,0.0339334,0.033976,0.0326099,0.0336529,0.0333152,h0.1.spHuman,9,0.0330982,0.000583046895388547
0.032601,0.0329912,0.0326935,0.0326308,0.0323012,0.0338674,0.0338885,0.0325823,0.0335665,0.0332379,h0.1.spHuman,10,0.03303603,0.000573360088619902
0.0325294,0.032913,0.0326643,0.0325673,0.0322219,0.0338369,0.033831,0.0324741,0.0335411,0.0332001,h0.1.spHuman,11,0.03297791,0.000589715534907392
0.0325209,0.0328102,0.032565,0.0325461,0.0321848,0.0338059,0.0337749,0.0324,0.0334742,0.0331972,h0.1.spHuman,12,0.03292792,0.000591336070643796
0.032456,0.0327272,0.0325049,0.0324738,0.0320666,0.0337165,0.0337452,0.0323888,0.033413,0.0331315,h0.1.spHuman,13,0.03286235,0.000596680503098416
0.0323852,0.0326923,0.0324429,0.0323989,0.0320556,0.0337002,0.0337266,0.0323314,0.0333863,0.0330952,h0.1.spHuman,14,0.03282146,0.000609281022918726
0.0323382,0.0327254,0.0324374,0.0323313,0.032019,0.0336977,0.0336632,0.0322905,0.0333191,0.0330613,h0.1.spHuman,15,0.03278831,0.000607992102379262
0.0323372,0.0326472,0.0324395,0.0322716,0.0319786,0.0336573,0.0336028,0.032241,0.0333,0.0330041,h0.1.spHuman,16,0.03274793,0.000603496528665337
0.0323193,0.0325819,0.0323799,0.0322419,0.0319387,0.0336406,0.0335752,0.0322552,0.0332283,0.0329929,h0.1.spHuman,17,0.03271539,0.00060201980670628
0.0323081,0.0324955,0.0323803,0.0322369,0.0318976,0.033572,0.0335488,0.0322308,0.0332376,0.0329624,h0.1.spHuman,18,0.032687,0.000597503409567213
0.0322902,0.0324725,0.0324039,0.0322624,0.0318555,0.0335678,0.0334897,0.0322407,0.0332122,0.0329463,h0.1.spHuman,19,0.03267412,0.000588407994884879
0.0322545,0.0324269,0.0323606,0.0321432,0.0318314,0.033538,0.03344,0.0322001,0.0331543,0.0328989,h0.1.spHuman,20,0.03262479,0.000590843717727265
0.0322798,0.0323973,0.0323473,0.0321321,0.0317533,0.0334892,0.0334012,0.0321769,0.0331737,0.032881,h0.1.spHuman,21,0.03260318,0.000592818800871452
0.0322622,0.0323586,0.0323464,0.0321181,0.031725,0.0334986,0.0334049,0.0321459,0.0331485,0.0328577,h0.1.spHuman,22,0.03258659,0.000601993393190029
0.0322341,0.0323406,0.0323267,0.0320778,0.0316967,0.0334657,0.0333899,0.0321212,0.0331282,0.0328378,h0.1.spHuman,23,0.03256187,0.000604441049510482
0.0322371,0.032291,0.0322975,0.0320939,0.0316677,0.0334339,0.0333177,0.0321241,0.0331003,0.0328113,h0.1.spHuman,24,0.03253745,0.000590366197560651
0.0322113,0.0322629,0.0322652,0.0320491,0.0316338,0.0334701,0.0333004,0.0320835,0.0330546,0.0328061,h0.1.spHuman,25,0.0325137,0.000605797571617599
0.0321787,0.0322428,0.0322525,0.0320059,0.0316249,0.0334481,0.0332987,0.0320576,0.033067,0.0327285,h0.1.spHuman,26,0.03249047,0.000609726960842129
0.0321497,0.0322173,0.032223,0.0319687,0.0316224,0.0334015,0.0332488,0.0320625,0.0330217,0.0327208,h0.1.spHuman,27,0.03246364,0.000596688342623033
0.0321519,0.0321777,0.0321789,0.0319503,0.0316033,0.0333881,0.0332592,0.0320812,0.0329987,0.0326791,h0.1.spHuman,28,0.03244684,0.000598833627794714
0.0321044,0.0321405,0.0321733,0.0319283,0.0315936,0.0333908,0.0332401,0.0320789,0.0329651,0.0326371,h0.1.spHuman,29,0.03242521,0.000599875097091979
0.0320571,0.0321118,0.0321326,0.0319079,0.0315853,0.0333795,0.0332202,0.0320735,0.0329806,0.0326313,h0.1.spHuman,30,0.03240798,0.000606149110368068
0.0320138,0.0320722,0.0320713,0.0319308,0.0315829,0.0334001,0.0331832,0.032015,0.0329885,0.0326319,h0.1.spHuman,31,0.03238897,0.00061582541907409
0.0319773,0.032092,0.0320502,0.0318998,0.0315884,0.033375,0.0331902,0.0319611,0.0329437,0.0326093,h0.1.spHuman,32,0.0323687,0.000614824948890152
0.0319552,0.0320443,0.0320407,0.0319197,0.0315878,0.0333126,0.0331535,0.031976,0.032926,0.0325699,h0.1.spHuman,33,0.03234857,0.000596591384543148
0.0319648,0.0320381,0.0320267,0.0318943,0.0315731,0.033275,0.0331345,0.0319764,0.0329408,0.0325618,h0.1.spHuman,34,0.03233855,0.000592982546585947
0.0319398,0.0320273,0.0319894,0.0318739,0.0315525,0.0332775,0.0331385,0.0319303,0.0329053,0.032544,h0.1.spHuman,35,0.03231785,0.000601747788160087
0.0319336,0.032011,0.0319664,0.0318595,0.0315407,0.0332289,0.0331026,0.0319277,0.0328956,0.0324861,h0.1.spHuman,36,0.03229521,0.00059014198376323
0.0318838,0.0319806,0.0319684,0.0318348,0.0315727,0.0332017,0.0330538,0.0319073,0.0328799,0.0324473,h0.1.spHuman,37,0.03227303,0.000578961887154739
0.0318239,0.0319674,0.0319752,0.0318236,0.0315788,0.0331556,0.0330601,0.0319075,0.0328251,0.0323845,h0.1.spHuman,38,0.03225017,0.000568797464539591
0.0318518,0.0319371,0.0319309,0.0318495,0.0315593,0.0331141,0.0330245,0.0318599,0.0328248,0.0323458,h0.1.spHuman,39,0.03222977,0.000560747360522842
0.0317882,0.0319353,0.0319192,0.0318237,0.0315642,0.0330844,0.0330223,0.0318621,0.032805,0.0323423,h0.1.spHuman,40,0.03221467,0.000559858768004137
0.031785,0.031886,0.031911,0.0318025,0.0315269,0.0331031,0.0329477,0.031852,0.0327348,0.0323478,h0.1.spHuman,41,0.03218968,0.000554572068856301
0.0317548,0.0319048,0.0319107,0.0318009,0.0314728,0.0330641,0.0329194,0.031849,0.0326686,0.0323323,h0.1.spHuman,42,0.03216774,0.000544796553668329
0.0317832,0.0318822,0.0318604,0.0318275,0.0314566,0.0330533,0.0328996,0.0318275,0.0326508,0.0323137,h0.1.spHuman,43,0.03215548,0.00054099623905039
0.0317513,0.0318659,0.0318187,0.0317693,0.0314242,0.0330217,0.0328921,0.0317816,0.0326382,0.0323039,h0.1.spHuman,44,0.03212669,0.000550155035623798
0.0317559,0.031889,0.0317925,0.0317584,0.0313971,0.0329984,0.0328652,0.031759,0.0326082,0.0322638,h0.1.spHuman,45,0.03210875,0.000543804262681997
0.0317669,0.0318852,0.0317973,0.0317588,0.0313856,0.0329934,0.0328411,0.0317446,0.0325808,0.0322661,h0.1.spHuman,46,0.03210198,0.000538302611713688
0.0317522,0.0318465,0.0317853,0.031721,0.0313418,0.0329804,0.032828,0.0317331,0.0325499,0.0322431,h0.1.spHuman,47,0.03207813,0.000543709465002526
0.0317397,0.0318245,0.0317886,0.031697,0.0313223,0.0329408,0.032827,0.0317478,0.0325287,0.0322378,h0.1.spHuman,48,0.03206542,0.000539572447612202
0.0317222,0.0317847,0.0317737,0.031654,0.0312981,0.0328954,0.0327907,0.0317637,0.0324886,0.0322426,h0.1.spHuman,49,0.03204137,0.000532329630648779
0.0317204,0.031742,0.0317499,0.0316536,0.0312415,0.0328776,0.0327705,0.0317678,0.0325003,0.0322871,h0.1.spHuman,50,0.03203107,0.000541956054081469
0.0317054,0.0317393,0.0317216,0.0316508,0.0312275,0.0328646,0.0327539,0.0317341,0.0325075,0.0322506,h0.1.spHuman,51,0.03201553,0.000543190480300317
0.0317069,0.0317134,0.0316729,0.03163,0.0312128,0.0328633,0.0327382,0.0317128,0.0324846,0.0322201,h0.1.spHuman,52,0.0319955,0.000546444473137228
0.0317117,0.0316928,0.0316539,0.0316475,0.0311946,0.032855,0.0327126,0.0316982,0.0324408,0.0322313,h0.1.spHuman,53,0.03198384,0.00054214586229169
0.031697,0.0316605,0.0316415,0.0316317,0.0311957,0.0328512,0.0327199,0.0316826,0.0324385,0.0322042,h0.1.spHuman,54,0.03197228,0.00054650109240513
0.0316889,0.0316421,0.0316266,0.0316033,0.0312114,0.032841,0.0327105,0.0316731,0.0323845,0.0321783,h0.1.spHuman,55,0.03195597,0.000539831621999964
0.0316909,0.0316219,0.0316208,0.0316086,0.0311918,0.0328135,0.0327093,0.0316611,0.0323855,0.032188,h0.1.spHuman,56,0.03194914,0.00054021652695933
0.0316731,0.0315638,0.0316046,0.0315821,0.0311485,0.0327911,0.0326779,0.0316628,0.0323913,0.0321726,h0.1.spHuman,57,0.03192678,0.000545848381064844
0.0316484,0.0315383,0.0315813,0.0316006,0.0311298,0.0327618,0.0326591,0.0316566,0.0323684,0.032168,h0.1.spHuman,58,0.03191123,0.000542287806017761
0.0316567,0.0315407,0.0315485,0.0315908,0.0311213,0.032726,0.0326588,0.0316163,0.0323379,0.0321465,h0.1.spHuman,59,0.03189435,0.000537955029615756
0.0316524,0.0315348,0.0315518,0.0315898,0.0310986,0.0327117,0.0326393,0.0315983,0.032325,0.0321552,h0.1.spHuman,60,0.03188569,0.000536918635362939
0.0316618,0.0315118,0.0315424,0.0315947,0.0311128,0.0326823,0.0326251,0.0315763,0.0322754,0.0321369,h0.1.spHuman,61,0.03187195,0.000524926651489943
0.0316486,0.0315108,0.0314884,0.0315955,0.031108,0.0326849,0.0326627,0.0315591,0.0322617,0.0321347,h0.1.spHuman,62,0.03186544,0.000536660099752784
0.0316588,0.0314575,0.0314805,0.031618,0.0311048,0.0326874,0.0326214,0.031522,0.0322592,0.0321154,h0.1.spHuman,63,0.0318525,0.000535204114749172
0.0316488,0.0314364,0.0314774,0.0316202,0.0310676,0.0326558,0.032595,0.0314876,0.0322424,0.0321001,h0.1.spHuman,64,0.03183313,0.000533821564132934
0.0316197,0.03141,0.0314673,0.0315956,0.0310741,0.0326231,0.0325372,0.0314747,0.0322119,0.032074,h0.1.spHuman,65,0.03180876,0.000520123417405267
0.0316381,0.0314085,0.031437,0.0315974,0.0310669,0.0326075,0.0324919,0.0314834,0.0322123,0.0320442,h0.1.spHuman,66,0.03179872,0.000511029592098147
0.0316255,0.031408,0.0314242,0.031541,0.0310525,0.0326063,0.0324806,0.0314667,0.0322116,0.0320543,h0.1.spHuman,67,0.03178707,0.000517259152864618
0.0316031,0.0313797,0.0314006,0.0315671,0.0310098,0.0325829,0.0325127,0.0314212,0.0322186,0.0320322,h0.1.spHuman,68,0.03177279,0.000531214814155042
0.0315996,0.0313471,0.031421,0.0315539,0.0310002,0.0325495,0.0325222,0.0314003,0.0321873,0.0319967,h0.1.spHuman,69,0.03175778,0.000527374513352072
0.0316206,0.0313457,0.0314163,0.0315367,0.030972,0.032525,0.0325389,0.03138,0.0321759,0.0319582,h0.1.spHuman,70,0.03174693,0.000529871204581307
0.0316241,0.0313065,0.0314006,0.031518,0.0309269,0.0324967,0.03252,0.0313695,0.0321567,0.0319429,h0.1.spHuman,71,0.03172619,0.000533138329871131
0.0316195,0.031276,0.0314032,0.0314951,0.0309162,0.0324895,0.0325219,0.0313593,0.0321435,0.0319008,h0.1.spHuman,72,0.0317125,0.000535519444610142
0.0316081,0.0312797,0.0314041,0.0314986,0.0309287,0.0324908,0.0325178,0.0313581,0.032111,0.0318637,h0.1.spHuman,73,0.03170606,0.000528575517993619
0.0315536,0.0312904,0.0314074,0.0314712,0.0309353,0.0324676,0.0325059,0.0313619,0.0320972,0.031842,h0.1.spHuman,74,0.03169325,0.00052094015491225
0.0315409,0.0312747,0.0314137,0.0314811,0.030933,0.0324356,0.0324756,0.0313316,0.0320961,0.0318228,h0.1.spHuman,75,0.03168051,0.000513260225205283
0.0315139,0.0312704,0.0313974,0.0314829,0.0309154,0.032412,0.0324661,0.0313,0.0321087,0.0318043,h0.1.spHuman,76,0.03166711,0.000515798794643372
